,,,,,,,,,,Count of Category,,,,,,,,,,
Total Centers,,Total Doctors,,Average Doctors,,,Row Labels,Count of WellnessCenterCode,,504,,,,,,,,,Row Labels,Count of Category
504,,1522,,3.01984127,,,Ahmedabad,17,,,,,,,,,,,Allopathy,377
,,,,,,,Bengaluru,17,,,,,,,,,,,Ayurveda,52
,,,,,,,Bhopal,6,,,,,,,,,,,Homeopathy,59
,,,,,,,Bhubaneswar,7,,,,,,,,,,,Siddha,4
,,,,,,,Chandigarh,13,,,,,,,,,,,Unani,12
,,,,,,,Chennai,25,,,,,,,,,,,Grand Total,504
,,,,,,,Dehradun,5,,,,,,,,,,,,
,,,,,,,Delhi,165,,,,,,,,,,,,
,,,,,,,Guwahati,15,,,,,,,,,,,,
,,,,,,,Hyderabad,29,,,,,,,,,,,,
,,,,,,,Jabalpur,8,,,,,,,,,,,,
,,,,,,,Jaipur,13,,,,,,,,,,,,
,,,,,,,Kanpur,14,,,,,,,,,,,,
,,,,,,,Kolkata,26,,,,,,,,,,,,
,,,,,,,Lucknow,16,,,,,,,,,,,,
,,,,,,,Meerut,12,,,,,,,,,,,,
,,,,,,,Mumbai,37,,,,,,,,,,,,
,,,,,,,Nagpur,21,,,,,,,,,,,,
,,,,,,,Patna,12,,,,,,,,,,,,
,,,,,,,Prayagraj,12,,,,,,,,,,,,
,,,,,,,Pune,14,,,,,,,,,,,,
,,,,,,,Ranchi,5,,,,,,,,,,,,
,,,,,,,Shillong,7,,,,,,,,,,,,
,,,,,,,Trivandrum,8,,,,,,,,,,,,
,,,,,,,Grand Total,504,,,,,,,,,,,,
